overtakes_per_lap,lead_changes_per_lap,weather_volatility,safety_car_freq,rating,gp_name,year,pit_stop_intensity,retirement_rate
4.228070175438597,0.0350877192982456,0.0,0.087719298245614,7.89,Bahrain Grand Prix,2022,1.0350877192982455,0.15
2.64,0.08,0.0,0.2,7.62,Saudi Arabian Grand Prix,2022,0.42,0.35
3.0344827586206895,0.0,0.0,0.2068965517241379,5.84,Australian Grand Prix,2022,0.3793103448275862,0.15
3.245614035087719,0.0526315789473684,0.0,0.087719298245614,4.74,Miami Grand Prix,2022,0.5087719298245614,0.25
3.272727272727273,0.0757575757575757,0.0,0.0,7.09,Spanish Grand Prix,2022,0.8333333333333334,0.1
1.025974025974026,0.0259740259740259,0.3375742154368109,0.1168831168831168,5.01,Monaco Grand Prix,2022,0.7142857142857143,0.15
2.764705882352941,0.0588235294117647,0.0,0.1568627450980392,4.71,Azerbaijan Grand Prix,2022,0.5882352941176471,0.25
2.2285714285714286,0.0571428571428571,0.0,0.1857142857142857,6.45,Canadian Grand Prix,2022,0.4571428571428571,0.15
2.8846153846153846,0.173076923076923,0.0,0.0769230769230769,9.55,British Grand Prix,2022,0.9423076923076924,0.3
4.084507042253521,0.0985915492957746,0.0,0.056338028169014,7.82,Austrian Grand Prix,2022,0.6197183098591549,0.15
2.056603773584906,0.0377358490566037,0.0,0.1886792452830188,5.23,French Grand Prix,2022,0.5283018867924528,0.25
3.628571428571429,0.1,0.0,0.1142857142857142,7.33,Hungarian Grand Prix,2022,0.6,0.05
5.363636363636363,0.0909090909090909,0.0,0.0454545454545454,5.64,Belgian Grand Prix,2022,0.8636363636363636,0.1
2.388888888888889,0.0555555555555555,0.0,0.125,6.72,Dutch Grand Prix,2022,1.0,0.1
4.018867924528302,0.0566037735849056,0.0,0.1132075471698113,4.17,Italian Grand Prix,2022,0.5660377358490566,0.2
1.3114754098360657,0.0,0.6222222222222222,0.2950819672131147,6.2,Singapore Grand Prix,2022,0.3770491803278688,0.3
2.018867924528302,0.0377358490566037,1.0,0.0566037735849056,5.54,Japanese Grand Prix,2022,0.7924528301886793,0.1
4.75,0.1428571428571428,0.0,0.125,8.32,United States Grand Prix,2022,0.6607142857142857,0.15
3.913793103448276,0.0344827586206896,0.0,0.0,5.07,Abu Dhabi Grand Prix,2022,0.5862068965517241,0.15
2.9649122807017543,0.0350877192982456,0.0,0.0701754385964912,5.64,Bahrain Grand Prix,2023,0.912280701754386,0.45
2.62,0.02,0.0,0.04,4.04,Saudi Arabian Grand Prix,2023,0.5,0.15
2.0,0.0344827586206896,0.0,0.1551724137931034,6.93,Australian Grand Prix,2023,1.1206896551724137,0.4
2.156862745098039,0.0392156862745098,0.0,0.0392156862745098,1.86,Azerbaijan Grand Prix,2023,0.4705882352941176,0.2
3.4035087719298245,0.0526315789473684,0.0,0.0,5.26,Miami Grand Prix,2023,0.3508771929824561,0.1
1.1794871794871795,0.0,0.293069306930693,0.0,6.83,Monaco Grand Prix,2023,0.4871794871794871,0.6
4.545454545454546,0.0,0.0,0.0,5.31,Spanish Grand Prix,2023,0.6515151515151515,0.4
1.957142857142857,0.0,0.0,0.1,5.67,Canadian Grand Prix,2023,0.4857142857142857,0.3
2.6338028169014085,0.028169014084507,0.0,0.0985915492957746,7.17,Austrian Grand Prix,2023,0.8873239436619719,0.45
2.4615384615384617,0.0192307692307692,0.0,0.0769230769230769,6.76,British Grand Prix,2023,0.5,0.15
2.242857142857143,0.0,0.0,0.0,4.22,Hungarian Grand Prix,2023,0.5571428571428572,0.55
4.75,0.0681818181818181,0.0,0.0,5.85,Belgian Grand Prix,2023,0.8636363636363636,0.1
3.9305555555555554,0.0416666666666666,0.244229337304542,0.0833333333333333,8.92,Dutch Grand Prix,2023,1.4166666666666667,0.15
3.3333333333333335,0.0980392156862745,0.0,0.0,7.24,Italian Grand Prix,2023,0.5098039215686274,0.2
2.8870967741935485,0.0,0.0,0.0967741935483871,8.34,Singapore Grand Prix,2023,0.4032258064516129,0.25
3.150943396226415,0.0566037735849056,0.0,0.1698113207547169,6.26,Japanese Grand Prix,2023,0.9056603773584906,0.5
6.298245614035087,0.0,0.0,0.0350877192982456,5.78,Qatar Grand Prix,2023,0.9649122807017544,0.35
4.035714285714286,0.1071428571428571,0.0,0.0,6.34,United States Grand Prix,2023,0.6964285714285714,0.4
5.88,0.12,0.0,0.16,7.93,Las Vegas Grand Prix,2023,0.62,0.15
5.293103448275862,0.0517241379310344,0.0,0.0,5.34,Abu Dhabi Grand Prix,2023,0.6551724137931034,0.15
3.3157894736842106,0.0,0.0,0.0,2.86,Bahrain Grand Prix,2024,0.7543859649122807,0.5
1.8,0.04,0.0,0.04,4.5,Saudi Arabian Grand Prix,2024,0.4,0.4
2.931034482758621,0.0172413793103448,0.0,0.1034482758620689,6.17,Australian Grand Prix,2024,0.6379310344827587,0.5263157894736842
3.056603773584906,0.0754716981132075,0.0,0.0188679245283018,6.88,Japanese Grand Prix,2024,1.0377358490566038,0.55
4.232142857142857,0.0357142857142857,0.0,0.1964285714285714,6.1,Chinese Grand Prix,2024,0.7321428571428571,0.15
2.6491228070175437,0.0350877192982456,0.0,0.1403508771929824,7.63,Miami Grand Prix,2024,0.4912280701754385,0.05
0.2307692307692307,0.0,0.0,0.0128205128205128,2.03,Monaco Grand Prix,2024,0.2948717948717949,0.65
2.5714285714285716,0.0571428571428571,0.6650943396226415,0.0714285714285714,9.28,Canadian Grand Prix,2024,0.6428571428571429,0.3
3.893939393939394,0.0757575757575757,0.0,0.0,6.23,Spanish Grand Prix,2024,0.6363636363636364,0.45
3.1549295774647885,0.0422535211267605,0.0,0.056338028169014,8.04,Austrian Grand Prix,2024,0.647887323943662,0.4
1.5961538461538465,0.0961538461538461,0.2434963579604578,0.0,8.95,British Grand Prix,2024,0.8846153846153846,0.4
3.342857142857143,0.0857142857142857,0.0,0.0,7.09,Hungarian Grand Prix,2024,0.5857142857142857,0.45
4.5,0.1363636363636363,0.0,0.0,7.71,Belgian Grand Prix,2024,0.7954545454545454,0.1
2.4166666666666665,0.0416666666666666,0.0,0.0,3.93,Dutch Grand Prix,2024,0.3611111111111111,0.6
3.9056603773584904,0.0943396226415094,0.0,0.0,7.81,Italian Grand Prix,2024,0.5849056603773585,0.35
3.215686274509804,0.0588235294117647,0.0,0.3529411764705882,8.6,Azerbaijan Grand Prix,2024,0.4705882352941176,0.3
2.2096774193548385,0.0,0.0,0.0,2.6,Singapore Grand Prix,2024,0.4032258064516129,0.65
3.0714285714285716,0.0357142857142857,0.0,0.0357142857142857,7.63,United States Grand Prix,2024,0.4107142857142857,0.4
